x,y,main_id,RA,Dec,V,B-V,B
601.9717190251965,113.56411676744764,SA 38-298,282.6295874999999,45.16028611111111,15.221,0.594,15.815
161.14618227279067,117.18544194128246,SA 38-312,282.7103791666666,45.16011666666667,12.171,1.29,13.460999999999999
483.78625454452765,179.3846716721862,SA 38-304,282.6512208333333,45.15189722222222,14.514,0.595,15.109
197.4002341389221,230.55368081811451,SA 38-310,282.70363749999996,45.14541666666667,10.489,1.259,11.748000000000001
695.866778426915,330.1761141736563,SA 38-297,282.6125458333333,45.132194444444444,14.395,0.61,15.004999999999999
279.622731375195,362.5117650893468,SA 38-309,282.68871249999995,45.12838611111111,12.798,0.682,13.48
531.5915208627401,394.2569354204104,SA 38-303,282.64258749999993,45.12402222222222,15.062,0.618,15.68
361.3423268364742,502.6134521724297,SA 38-149,282.6738708333333,45.110283333333335,15.186,0.639,15.825
252.3506319195719,558.0084924885454,SA 38-157,282.6938291666666,45.10319722222222,15.213,1.036,16.249
759.291460527833,558.2362116570547,SA 38-137,282.6011041666666,45.10263055555556,13.517,0.736,14.253
730.643706602798,565.7654091264862,SA 38-138,282.60639166666664,45.10177222222222,14.319,0.714,15.033000000000001
261.0116537361135,597.5968627866025,SA 38-156,282.692325,45.09804722222223,15.358,0.579,15.937000000000001
